FullScaleV9_NoCameraTransonicSweep1_041626: Design Number,FullScaleV9_NoCameraTransonicSweep1_041626: BaseSize (m),FullScaleV9_NoCameraTransonicSweep1_041626: BEAVSExtension (mm),FullScaleV9_NoCameraTransonicSweep1_041626: BEAVSPosition (m),FullScaleV9_NoCameraTransonicSweep1_041626: FreestreamAltitude (ft),FullScaleV9_NoCameraTransonicSweep1_041626: FreestreamMach,FullScaleV9_NoCameraTransonicSweep1_041626: FreestreamTemperature (C),FullScaleV9_NoCameraTransonicSweep1_041626: NumSteps,FullScaleV9_NoCameraTransonicSweep1_041626: Cell Count,FullScaleV9_NoCameraTransonicSweep1_041626: Center of Loads (m),FullScaleV9_NoCameraTransonicSweep1_041626: Drag BEAVS (N),FullScaleV9_NoCameraTransonicSweep1_041626: Drag Camera Pod (N),FullScaleV9_NoCameraTransonicSweep1_041626: Drag Center Body (N),FullScaleV9_NoCameraTransonicSweep1_041626: Drag Coefficient,FullScaleV9_NoCameraTransonicSweep1_041626: Drag Fins (N),FullScaleV9_NoCameraTransonicSweep1_041626: Drag Nose (N),FullScaleV9_NoCameraTransonicSweep1_041626: Drag of all external components (N),FullScaleV9_NoCameraTransonicSweep1_041626: Drag Tail & Base (N),FullScaleV9_NoCameraTransonicSweep1_041626: Total Solver CPU Time (s),FullScaleV9_NoCameraTransonicSweep1_041626: Total Solver Elapsed Time (s)
11,0.03,5,1.23,3600,0.95,7,300,2149839,0.19922028505636383,15.797055063174419,0,20.072200809624526,0.6689060880456474,65.78698528132719,71.68137966844867,404.93224580389216,231.5946249813173,11289.554266999985,1421.8727741019993
12,0.03,5,1.23,3600,0.99,7,300,2255298,0.23504518885214082,19.97233410084334,0,23.460323756157084,0.8027416053976776,74.29662099800503,120.68815297612186,527.7352857878758,289.31785395674854,11496.973557999987,1451.8749073770002
13,0.03,10,1.23,3600,0.75,7,300,2043356,0.10167140984112209,14.598009817329872,0,11.402894299879604,0.42057212866769045,28.48788690775122,-85.85506738,158.68395109175788,190.05022744946092,12137.594028000005,1528.6071373410005
14,0.03,10,1.23,3600,0.8,7,300,2047828,0.11575872863830568,17.03732180335571,0,12.985987260261863,0.46383331561636254,31.58216936756603,-58.45395169,199.11863999256212,195.96711324974146,11635.636194999997,1464.610191
15,0.03,10,1.23,3600,0.85,7,300,2058986,0.13518744660690957,20.663864554298534,0,15.138918592594028,0.5248703493814368,35.26333418679971,-23.56233149,254.36647838409885,206.86269253935143,11762.032257999997,1480.6801438249993
16,0.03,10,1.23,3600,0.9,7,300,2087424,0.1606293423383354,25.186838789266798,0,17.45965974536474,0.591305625,39.979159273075204,19.535810119442647,321.26767151107117,219.10620358392177,11443.561023000011,1445.6698098620009
17,0.03,10,1.23,3600,0.95,7,300,2156283,0.2006576033451827,30.091579154494294,0,19.67077707197196,0.691051047,65.44561562348707,71.68938555712114,418.3380258968337,231.44066848975925,12130.183916000009,1529.0166850480025
18,0.03,10,1.23,3600,0.99,7,300,2272633,0.23823388990875463,36.78815296055183,0,21.80228434546664,0.8090746298394922,73.45232851656948,120.71369927904227,531.8987182563436,279.14225315471344,12191.296593999992,1534.4946643289993
19,0.03,15,1.23,3600,0.75,7,300,2045444,0.10166672543903132,23.461072473844354,0,11.206620361675562,0.44419263,28.425494409958404,-85.82943605,167.59608335171862,190.3323321583385,11338.332523999998,1427.4222145979998
20,0.03,15,1.23,3600,0.8,7,300,2050453,0.11589808086063108,27.43697674767502,0,12.735235510097073,0.488156634,31.525429563605247,-58.44090775,209.56037821353817,196.3036441464179,11290.704234999994,1425.2804177010012
21,0.03,15,1.23,3600,0.85,7,300,2062165,0.13544137003032708,33.439350217772535,0,14.898461140781357,0.5512620177598845,35.24302127430168,-23.56063911,267.15660027232934,207.13640674835293,10985.999667000004,1383.004171531001
22,0.03,15,1.23,3600,0.9,7,300,2091550,0.16095921491090834,40.33205872666753,0,17.12347183159709,0.6183122063401236,39.796267426952525,19.52512772142117,335.94086413442005,219.16393842778177,11557.49456,1459.3096618540014
23,0.03,15,1.23,3600,0.95,7,300,2166209,0.20092553721800918,48.29307619085206,0,19.279476456038378,0.7180728644418374,64.41442081337087,71.66802152685642,434.6960849150237,231.04108992790594,11620.867747999997,1463.761171728999
24,0.03,15,1.23,3600,0.99,7,300,2283375,0.23975549382411138,60.96478450363558,0,21.791833521378216,0.8468260640688536,73.89434839899783,120.68061008146934,556.7171203,279.3855438343881,11815.374466000003,1487.8500941479992
25,0.03,18,1.23,3600,0.75,7,300,2047251,0.1018957009544195,30.283585448448306,0,11.784961139825654,0.47197520478486443,28.80163697073465,-85.82841699,178.07858678096346,193.03682021242273,11644.542413999996,1471.073508494001
26,0.03,18,1.23,3600,0.8,7,300,2051642,0.11621763715455821,34.54345084682415,0,12.908237394009994,0.5092940613963892,31.710833487892884,-58.45385658,218.63444786577992,197.9257827217653,19182.761875999997,2612.959174455999
27,0.03,18,1.23,3600,0.85,7,300,2065190,0.13581450223524352,41.683786506439844,0,14.986653735577676,0.5707678306656543,35.40534580335002,-23.5689561,276.6096489017806,208.10281895336897,12301.622412000012,1565.6413846110015
28,0.03,18,1.23,3600,0.9,7,300,2094648,0.16143524072841275,51.384341786371685,0,17.40326136430212,0.6458316795294147,40.35424423351513,19.515539529168997,350.89272099400944,222.2353340806515,11614.069616999988,1467.4475236480002
29,0.03,18,1.23,3600,0.95,7,300,2168313,0.20115167437461282,60.99124904313133,0,19.204378008391487,0.738649523,63.87257762070563,71.65134355240508,447.1524712839831,231.43292305934966,11657.684223000015,1472.683980050998
30,0.03,18,1.23,3600,0.99,7,300,2272334,0.23102884587952832,81.37875897127255,0,30.535114342784254,0.9665203041919594,82.93965836,120.22618502955201,635.4060453859767,320.32632868065383,11448.29276199999,1451.3475225709997
31,0.03,22,1.23,3600,0.75,7,300,2052382,0.10229148482145566,38.40577495673575,0,10.91406432410736,0.4791951083683398,28.28301079337916,-85.80930408,180.80269222931247,189.0091462313276,11242.184963000007,1418.6541091969982
32,0.03,22,1.23,3600,0.8,7,300,2057565,0.11661912842444139,44.67975605257598,0,12.33039586498833,0.5224213023980719,31.278386343901417,-58.41252295,224.26983085166188,194.39381553791782,15706.714883000008,2108.7502230529985
33,0.03,22,1.23,3600,0.85,7,300,2069638,0.13643350077634006,54.240841496159646,0,14.454715223394508,0.5881078494994381,34.94278754344563,-23.52486652,285.01309468808114,204.8996169411718,11596.18642000001,1466.7459168319992
34,0.03,22,1.23,3600,0.9,7,300,2099524,0.16220905544096945,67.17470730821894,0,16.83231758290103,0.6644083308451347,39.62666887258518,19.570692300768766,360.9857714493225,217.78138538484856,11395.744908000013,1446.3089225389997
35,0.03,22,1.23,3600,0.95,7,300,2174757,0.20168236218008836,80.68718833730064,0,19.158919549719833,0.7675414234921736,63.054826809162705,71.72154628921061,464.64261264279656,230.02013165740277,11411.092039999994,1441.111863
36,0.03,22,1.23,3600,0.99,7,300,2290553,0.24032269288776165,99.20199384357042,0,21.04567876090036,0.8925863239306718,73.47750660428034,120.73918249977281,586.8006536381594,272.33629192963554,11914.772736000012,1506.1181820749985
37,0.03,25,1.23,3600,0.75,7,300,2054305,0.10245177341950895,46.35235726730778,0,11.06509328039224,0.5031456390698734,28.37625175,-85.83068368,189.8393463093235,189.87632769142635,11587.582311999993,1468.2785529959988
38,0.03,25,1.23,3600,0.8,7,300,2058841,0.11692298288862868,53.58290626760299,0,12.467323986070353,0.5454927160945643,31.393112123652532,-58.42827152,234.17413992839704,195.1590690711973,11226.78466,1417.3471353309992
39,0.03,25,1.23,3600,0.85,7,300,2071068,0.13700348128255255,65.00513452,0,14.997078226450263,0.6163677791721056,35.41775794763431,-23.53340481,298.7086269251189,206.82206104078733,16667.278208999982,2247.4206221780005
40,0.03,25,1.23,3600,0.9,7,300,2101484,0.1626107216289218,80.73410089644662,0,17.03790099316632,0.6915185597862179,39.96682090684611,19.56452177966282,375.71527807067423,218.4119334945523,12189.459691999995,1536.9986910980003
41,0.03,25,1.23,3600,0.95,7,300,2172649,0.2000616505345537,99.10467772491198,0,18.79686343045004,0.7912389191420868,61.409446301742044,71.7138854,478.98824397272466,227.9633711121761,12432.976901000002,1568.6243662929992
42,0.03,25,1.23,3600,0.99,7,300,2284741,0.2410138992034749,120.63290592657238,0,20.879143147265943,0.9180678161279884,73.20101487549057,120.73606235885434,603.5525978212324,268.1034715130492,12518.233312000006,1585.549083
