"Fullscale_V9_DataCollectSweep1_041026: Design Number","Fullscale_V9_DataCollectSweep1_041026: BaseSize (m)","Fullscale_V9_DataCollectSweep1_041026: BEAVSExtension (mm)","Fullscale_V9_DataCollectSweep1_041026: BEAVSPosition (m)","Fullscale_V9_DataCollectSweep1_041026: FreestreamAltitude (ft)","Fullscale_V9_DataCollectSweep1_041026: FreestreamMach","Fullscale_V9_DataCollectSweep1_041026: FreestreamTemperature (C)","Fullscale_V9_DataCollectSweep1_041026: NumSteps","Fullscale_V9_DataCollectSweep1_041026: Cell Count","Fullscale_V9_DataCollectSweep1_041026: Center of Loads (m)","Fullscale_V9_DataCollectSweep1_041026: Drag BEAVS (N)","Fullscale_V9_DataCollectSweep1_041026: Drag Camera Pod (N)","Fullscale_V9_DataCollectSweep1_041026: Drag Center Body (N)","Fullscale_V9_DataCollectSweep1_041026: Drag Coefficient","Fullscale_V9_DataCollectSweep1_041026: Drag Fins (N)","Fullscale_V9_DataCollectSweep1_041026: Drag Nose (N)","Fullscale_V9_DataCollectSweep1_041026: Drag of all external components (N)","Fullscale_V9_DataCollectSweep1_041026: Drag Tail & Base (N)","Fullscale_V9_DataCollectSweep1_041026: Total Solver CPU Time (s)","Fullscale_V9_DataCollectSweep1_041026: Total Solver Elapsed Time (s)"
195.0,0.03,3.333333333333333,1.23,3600.0,0.72,7.0,470.0,2407513.0,-0.5121917335840552,5.489970746557264,6.628001972462494,29.13543025792741,0.9038934760778379,26.170012418718702,-94.60657161720161,157.1528374350499,184.33599365658563,21238.77844199998,2681.179337074998
196.0,0.03,3.333333333333333,1.23,3600.0,0.73,7.0,470.0,2407733.0,-0.5141589595269924,5.61367767268156,6.613262477211587,29.42122295057424,0.9144686502115543,26.80585416732316,-90.56236647313023,163.43856858106037,185.54691778640006,20593.168666000016,2598.2461692490033
197.0,0.03,3.333333333333333,1.23,3600.0,0.74,7.0,470.0,2408032.0,-0.5161786694755697,5.7417996434403,6.591789619974005,29.647888017463956,0.9242328562108646,27.43760918019056,-86.3305238195109,169.74025203000218,186.65168938844425,31496.357716,4258.249636714
198.0,0.03,3.333333333333333,1.23,3600.0,0.75,7.0,470.0,2408297.0,-0.5182504636988402,5.905199465255089,6.5130688153403895,29.929469471822827,0.935731307341203,28.05284498742036,-81.8233781573648,176.52803275330928,187.95082817083534,20767.254907,2638.2647948439985
199.0,0.03,5.0,1.23,3600.0,0.1,7.0,470.0,2402654.0,-0.4639674499335009,0.12745185012813065,0.14738926675349884,1.2053495628202229,0.9972774065912675,0.7436010168894776,-129.92398034260515,3.3446908992222557,131.04487954523609,19715.405433999982,2490.382742249999
200.0,0.03,5.0,1.23,3600.0,0.11,7.0,470.0,2402654.0,-0.4641242688392973,0.16174020964142888,0.17684194313746426,1.3861338543281985,0.9879039774275435,0.8758305734395286,-129.88095845755532,4.009037376171598,131.2894492531803,19998.882619999997,2524.3681933349967
201.0,0.03,5.0,1.23,3600.0,0.12,7.0,470.0,2402654.0,-0.46429599942087946,0.19909063989428583,0.208835385623176,1.5818937182783293,0.9823287182774317,1.022492457975237,-129.83391238854682,4.744160018655605,131.5657602054314,20615.44321099999,2610.422657068996
202.0,0.03,5.0,1.23,3600.0,0.13,7.0,470.0,2402654.0,-0.46448248228355793,0.23655718990371463,0.2436086363872433,1.7913982280457443,0.9764087687897798,1.181838844279655,-129.78282496374595,5.5342450769667675,131.86366714209638,32192.721612999987,4393.220241146998
203.0,0.03,5.0,1.23,3600.0,0.14,7.0,470.0,2402654.0,-0.46468304167777946,0.2779893548470003,0.28087622130383094,2.0179226946017055,0.9743183590325353,1.3535576539241125,-129.7283339319544,6.404673058253531,132.2026610655313,20047.440015000015,2532.712838846999
204.0,0.03,5.0,1.23,3600.0,0.15,7.0,470.0,2402654.0,-0.4649018632173046,0.321690382602122,0.3208350880278565,2.257163045766336,0.9693184740918632,1.534454738033682,-129.66987726584728,7.314573348264705,132.550307359682,20054.675614,2529.765461338
205.0,0.03,5.0,1.23,3600.0,0.16,7.0,470.0,2402654.0,-0.46513172532713215,0.3695137413671953,0.3630124130912632,2.512441383927083,0.9674014486082331,1.7243806361584586,-129.607780546709,8.305899838827376,132.94433221099237,20426.22366900002,2592.305565508
206.0,0.03,5.0,1.23,3600.0,0.17,7.0,470.0,2402677.0,-0.4653935521483991,0.42080434453997884,0.407478411820688,2.786764617195376,0.9698714842241785,1.9259519854180769,-129.54189381647188,9.400522944087493,133.4014174015853,20428.659825999992,2576.8396501289953
207.0,0.03,5.0,1.23,3600.0,0.18,7.0,470.0,2402677.0,-0.46565637866482845,0.4769896614700209,0.45347932327451446,3.09339508973711,0.9751704119906445,2.145527498474801,-129.47253554367714,10.596574795794808,133.8997187665155,20305.326622000008,2560.3302325099967
208.0,0.03,5.0,1.23,3600.0,0.19,7.0,470.0,2402677.0,-0.4659254305283844,0.5346342099379277,0.502788372264074,3.3928556015619726,0.9698600612870252,2.371073015695435,-129.3987206805877,11.742383755802713,134.339753236931,20473.029434999964,2592.4674546420015
209.0,0.03,5.0,1.23,3600.0,0.2,7.0,470.0,2402677.0,-0.4662288858922717,0.5952046185942538,0.5548510804857826,3.7045665056303534,0.9667422307704899,2.6032154682890876,-129.32095169971876,12.969125419993127,134.83223944671244,30104.57553400002,4065.8940251309978
210.0,0.03,5.0,1.23,3600.0,0.21,7.0,470.0,2402677.0,-0.4665452369081752,0.6612831960120167,0.608634133030793,4.036461583122826,0.9643446935295994,2.845442930076355,-129.23917528426756,14.26300009804101,135.3503535400666,20521.354078999997,2593.1510448709982
211.0,0.03,5.0,1.23,3600.0,0.22,7.0,470.0,2402677.0,-0.4668983615154922,0.7282928214421411,0.666485906123921,4.365970210949941,0.9604052509853601,3.0914361981119876,-129.1531747969375,15.589776478065293,135.8907661383748,20310.140823000005,2561.201300735998
