"SupSonicSweep2_BEAVS_012726: Design Number","SupSonicSweep2_BEAVS_012726: BEAVSExtension (mm)","SupSonicSweep2_BEAVS_012726: BEAVSPosition (m)","SupSonicSweep2_BEAVS_012726: FreestreamAltitude (ft)","SupSonicSweep2_BEAVS_012726: FreestreamMach","SupSonicSweep2_BEAVS_012726: FreestreamTemperature (C)","SupSonicSweep2_BEAVS_012726: NumSteps","SupSonicSweep2_BEAVS_012726: Cell Count","SupSonicSweep2_BEAVS_012726: Center of Loads (m)","SupSonicSweep2_BEAVS_012726: Drag BEAVS (N)","SupSonicSweep2_BEAVS_012726: Drag Center Body (N)","SupSonicSweep2_BEAVS_012726: Drag Coefficient","SupSonicSweep2_BEAVS_012726: Drag Fins (N)","SupSonicSweep2_BEAVS_012726: Drag Nose (N)","SupSonicSweep2_BEAVS_012726: Drag of all external components (N)","SupSonicSweep2_BEAVS_012726: Drag Tail & Base (N)","SupSonicSweep2_BEAVS_012726: Total Solver CPU Time (s)","SupSonicSweep2_BEAVS_012726: Total Solver Elapsed Time (s)"
49.0,15.0,1.4,3600.0,0.58,7.0,470.0,1250530.0,-0.7251093954188939,14.75256038937854,20.65958307752993,0.828609196490699,12.057574585018308,-121.5758644048721,93.48581973725031,167.59196609019565,16699.760396999995,2108.790976747
50.0,15.0,1.4,3600.0,0.59,7.0,470.0,1250748.0,-0.726291425305328,14.859314384005339,20.59214448962076,0.8084255975893393,12.3469347949276,-121.18633760980948,94.38088833833909,167.76883227959485,16282.032589000011,2051.0055468669993
51.0,15.0,1.4,3600.0,0.6,7.0,470.0,1250973.0,-0.7275290512558873,15.223687156048424,20.844040165457034,0.7956760852097131,12.650087100803361,-120.77679653196631,96.06801054201291,168.12699265167043,21018.982547999996,2787.1765123650016
52.0,15.0,1.4,3600.0,0.61,7.0,470.0,1251099.0,-0.728633386516782,15.963528950391648,21.842221870789587,0.8106213134877636,13.145173286823407,-120.31901628947897,101.1620666800962,170.5301588615705,22234.08769900001,2945.6100022419987
53.0,15.0,1.4,3600.0,0.62,7.0,470.0,1251625.0,-0.7299632871918507,16.27979955422502,21.98444993044669,0.7962797305655196,13.44373501228971,-119.79043367492942,102.65711042234159,170.7395596003096,14639.614335000004,1841.712818128
54.0,15.0,1.4,3600.0,0.63,7.0,470.0,1252039.0,-0.7313135718588454,16.712432931671685,22.36995510185484,0.7915673491325508,13.799403767452812,-119.04000027310254,105.3680547032429,171.52626317536607,14818.630145000001,1865.9096204909974
55.0,15.0,1.4,3600.0,0.64,7.0,470.0,1252419.0,-0.732724031646305,17.13082569752041,22.667668939169772,0.7902329673096364,14.164824975104708,-117.82872631023302,108.5563125464578,172.4217192448959,18203.059968,2398.7549494659997
56.0,15.0,1.4,3600.0,0.65,7.0,470.0,1252954.0,-0.7340790084048402,17.647011313165805,23.22342362937524,0.8055520765209048,14.657452025761458,-115.98348285332133,114.14590323746498,174.60149912248383,13708.269759000012,1726.9313137729987
57.0,15.0,1.4,3600.0,0.66,7.0,470.0,1253396.0,-0.7356585398612283,17.83639108217601,23.18685205201224,0.8042919766122645,14.975785240925426,-113.45248152970012,117.5010123389039,174.95446549349032,14228.463183,1793.3207339789985
58.0,15.0,1.4,3600.0,0.67,7.0,470.0,1253891.0,-0.7373129536359281,17.932005671415837,23.21848825518293,0.8046133783532465,15.311210929968308,-110.78167013767656,121.13701432915568,175.45697961026517,17963.246973000016,2356.4090663919983
59.0,15.0,1.4,3600.0,0.6799999999999999,7.0,470.0,1254809.0,-0.7389904137892738,18.26853976184589,23.333128039763317,0.8117403963636054,15.686216033292448,-107.76385969139338,125.88528430465658,176.36126016114832,15043.664071000012,1902.5205774789977
60.0,15.0,1.4,3600.0,0.69,7.0,470.0,1255522.0,-0.740515924846038,18.771961913576206,23.869689457864943,0.836426917514921,16.277396744302965,-104.68872078504313,133.5568534926244,179.32652616192345,13165.965252999993,1657.8781959369999
61.0,15.0,1.4,3600.0,0.7,7.0,470.0,1256910.0,-0.742383868508843,18.816141267629938,23.581885426097738,0.8321229346180673,16.536988577014597,-101.17748870919358,136.74880723109627,178.9912806695476,20141.488389000016,2668.9970897130042
62.0,15.0,1.4,3600.0,0.71,7.0,470.0,1257736.0,-0.7455784713335872,19.273353028494384,23.63624640499435,0.8415638649585051,16.940555642245688,-97.53147538126645,142.27997281846677,179.9612931239988,19206.76652000002,2553.3743206539975
63.0,15.0,1.4,3600.0,0.72,7.0,470.0,1258543.0,-0.7475003098804985,19.633592564016887,23.69689451307858,0.8517786880681377,17.35767761593307,-93.70714168013518,148.09204982588557,181.11102681299224,15323.300756,1932.5565795260013
64.0,15.0,1.4,3600.0,0.73,7.0,470.0,1259851.0,-0.7494778028807282,20.056668741110496,23.77908853925918,0.8634461093688064,17.77987394970023,-89.60971714673417,154.31955609355924,182.31364201022353,14995.345067000007,1890.5384422389966
65.0,15.0,1.4,3600.0,0.74,7.0,470.0,1261159.0,-0.7515487986625892,20.500273850116827,23.857010110734596,0.8768224254279684,18.205930156501925,-85.17394916396702,161.0330756773539,183.6438107239676,18768.577143000002,2477.8613752000037
66.0,15.0,1.4,3600.0,0.75,7.0,470.0,1261990.0,-0.7521448577994817,21.022119921237827,24.01161546174865,0.8893513484256272,18.659272713651326,-80.67383858632395,167.77833843153905,184.75916892122524,17337.185506000005,2261.5368754660008
67.0,15.0,1.4,3600.0,0.76,7.0,470.0,1263518.0,-0.7543535885932842,21.44019336137018,24.16469529765385,0.9021412022866652,19.095008102016145,-75.81195729396605,174.75986273918727,185.87192327211315,15280.998011999998,1929.4746820380021
