"SupSonicSweep2_012726: Design Number","SupSonicSweep2_012726: BEAVSExtension (mm)","SupSonicSweep2_012726: BEAVSPosition (m)","SupSonicSweep2_012726: FreestreamAltitude (ft)","SupSonicSweep2_012726: FreestreamMach","SupSonicSweep2_012726: FreestreamTemperature (C)","SupSonicSweep2_012726: NumSteps","SupSonicSweep2_012726: Cell Count","SupSonicSweep2_012726: Center of Loads (m)","SupSonicSweep2_012726: Drag BEAVS (N)","SupSonicSweep2_012726: Drag Center Body (N)","SupSonicSweep2_012726: Drag Coefficient","SupSonicSweep2_012726: Drag Fins (N)","SupSonicSweep2_012726: Drag Nose (N)","SupSonicSweep2_012726: Drag of all external components (N)","SupSonicSweep2_012726: Drag Tail & Base (N)","SupSonicSweep2_012726: Total Solver CPU Time (s)","SupSonicSweep2_012726: Total Solver Elapsed Time (s)"
62.0,0.0,1.4,3600.0,0.71,7.0,470.0,1250686.0,-0.7463140650243631,0.055883025147097504,24.54157158644432,0.7378268699168308,17.007966006162853,-97.53353694799958,124.74155719801166,180.66967352825694,13892.439684999998,1753.9500677350013
63.0,0.0,1.4,3600.0,0.72,7.0,470.0,1252651.0,-0.7482668609219997,0.05635681464787471,24.63585069877792,0.7492234789144663,17.422369020294177,-93.65993169138154,130.26158358313938,181.80693874080094,17740.376666,2333.696580670999
64.0,0.0,1.4,3600.0,0.73,7.0,470.0,1253929.0,-0.7502867832796732,0.05708759013499714,24.72344038313602,0.7616017614835249,17.845998840468873,-89.54113588574529,136.1174073019181,183.0320163739235,17007.449785999983,2203.981628454999
65.0,0.0,1.4,3600.0,0.74,7.0,470.0,1254890.0,-0.7508724691975958,0.05794218835426592,24.836276929643162,0.7745111852662865,18.27327092287839,-85.18075137120411,142.2430753285849,184.2563366589132,13639.476407000004,1719.6648672049987
66.0,0.0,1.4,3600.0,0.75,7.0,470.0,1255672.0,-0.7529220481724423,0.06012240063857016,25.280454205010685,0.796251878763978,18.84491662203794,-80.76505910102847,150.21489249272042,186.7944583660617,13513.540026000019,1704.212135342001
67.0,0.0,1.4,3600.0,0.76,7.0,470.0,1256976.0,-0.7552490925548911,0.06037474865659093,25.168937397059675,0.8012367210276843,19.151484168925645,-75.80992477608787,155.2129744584046,186.6421029198506,15840.644914999995,2030.5838666999991
68.0,0.0,1.4,3600.0,0.77,7.0,470.0,1258661.0,-0.7575669181564886,0.0615131752722802,25.402237057107815,0.81586257495533,19.599782411136772,-70.74901380076996,162.23272187513044,187.91820303238353,17234.918025999985,2269.0611001650013
69.0,0.0,1.4,3600.0,0.78,7.0,470.0,1260544.0,-0.7599661330783757,0.062481666184443105,25.681810605769076,0.8310695148455998,20.046054762276874,-65.38897406425338,169.57684574637898,189.17547277640196,13862.056433000009,1745.9218932979968
70.0,0.0,1.4,3600.0,0.79,7.0,470.0,1262198.0,-0.7625581296073016,0.06345250059810309,25.96180225733553,0.8458844663597782,20.515890370758996,-59.83476774958359,177.0537922425791,190.34741486347008,13905.153923,1752.5803273030015
71.0,0.0,1.4,3600.0,0.8,7.0,470.0,1264044.0,-0.7651563805904121,0.064600966848013,26.31891572290773,0.8621835702255103,20.98989941138402,-54.00312557190635,185.06305406189227,191.6927635326588,16564.898668999995,2131.5420467320014
