"SupSonicSweep3_012826: Design Number","SupSonicSweep3_012826: BEAVSExtension (mm)","SupSonicSweep3_012826: BEAVSPosition (m)","SupSonicSweep3_012826: FreestreamAltitude (ft)","SupSonicSweep3_012826: FreestreamMach","SupSonicSweep3_012826: FreestreamTemperature (C)","SupSonicSweep3_012826: NumSteps","SupSonicSweep3_012826: Cell Count","SupSonicSweep3_012826: Center of Loads (m)","SupSonicSweep3_012826: Drag BEAVS (N)","SupSonicSweep3_012826: Drag Center Body (N)","SupSonicSweep3_012826: Drag Coefficient","SupSonicSweep3_012826: Drag Fins (N)","SupSonicSweep3_012826: Drag Nose (N)","SupSonicSweep3_012826: Drag of all external components (N)","SupSonicSweep3_012826: Drag Tail & Base (N)","SupSonicSweep3_012826: Total Solver CPU Time (s)","SupSonicSweep3_012826: Total Solver Elapsed Time (s)"
71.0,30.0,1.4,3600.0,0.8,7.0,470.0,1286059.0,-0.7635633396352824,62.91478691203825,24.480026039616693,1.1435453752469038,21.349478561685377,-53.94794060916273,245.45584827856533,190.65949737438774,15210.462926000011,1952.1301635559973
72.0,30.0,1.4,3600.0,0.8099999999999999,7.0,470.0,1290528.0,-0.766130136234923,64.05775750671901,24.780854007710897,1.1570129427936462,21.828267071359292,-47.826738488061665,254.59404580226845,191.75390570454093,13823.054920000006,1746.0161845770012
73.0,30.0,1.4,3600.0,0.82,7.0,470.0,1293577.0,-0.7688595243812767,64.19029640404213,25.16702662502758,1.1682957461127972,22.366131876115908,-41.481198188233485,263.46352602884957,193.22126931189743,14944.457053000015,1891.7595500070038
74.0,30.0,1.4,3600.0,0.83,7.0,470.0,1298968.0,-0.771633080921505,67.54466168796266,25.330069398519584,1.1915732014112694,22.88514983882866,-34.8181953194987,275.3067735907332,194.36508798492093,26268.714162,3669.3515465799965
75.0,30.0,1.4,3600.0,0.84,7.0,470.0,1302931.0,-0.7745624511255392,67.74131495644198,25.575315644389903,1.203582260602586,23.465736864602512,-27.7995052902351,284.8225372717018,195.83967509650253,14472.344516999998,1822.6741588799996
76.0,30.0,1.4,3600.0,0.85,7.0,470.0,1307824.0,-0.7777004489487792,67.98851348594744,25.795128932350472,1.215724747735826,24.079927803118736,-20.45447459884462,294.586675671811,197.17758004923903,14374.348864000001,1810.9075794020027
77.0,30.0,1.4,3600.0,0.86,7.0,470.0,1317727.0,-0.7809821293061332,68.02821421045904,25.867857034081577,1.227043777166493,24.795207441358485,-12.75515320137525,304.36656502899837,198.43043954447452,15582.01746199999,1997.9987350389981
78.0,30.0,1.4,3600.0,0.87,7.0,470.0,1328877.0,-0.7847867846588111,67.64891342585075,26.166681786888557,1.2423524582469512,25.827529042871127,-4.857212050442254,315.37214590520534,200.5862337000372,15146.026903000007,1906.3881963070014
79.0,30.0,1.4,3600.0,0.88,7.0,470.0,1337919.0,-0.7884964671533116,82.83361784501109,27.047735411544398,1.3221882994769698,27.06154645146224,3.419168081364109,343.39870640417325,203.03663861479146,24505.185286999975,3481.144582655001
80.0,30.0,1.4,3600.0,0.89,7.0,470.0,1337182.0,-0.7951430547912012,96.29982152090508,33.49968611600129,1.4343311442333624,28.89699144543622,12.123046253469209,381.0389892629314,210.21944392711956,15199.13509099998,1912.6795447879997
81.0,30.0,1.4,3600.0,0.9,7.0,470.0,1341579.0,-0.7971856759895464,96.38832391736915,38.17664217221673,1.468148860546229,29.624273271158756,21.271360019347014,398.83669757164455,213.37609819155293,15904.760454000016,2033.497950477
82.0,30.0,1.4,3600.0,0.91,7.0,470.0,1350715.0,-0.8017928811848123,102.58907902720274,40.04249875731776,1.5215150152417436,32.04517085514412,30.856058366162458,422.5703354659992,217.03752846017213,15471.179981,1950.4261419279997
83.0,30.0,1.4,3600.0,0.92,7.0,470.0,1361552.0,-0.8073097894359823,107.45488039504588,41.63419469496255,1.5701903104358834,35.337672053970756,40.746659549017494,445.7259864472407,220.55257975424405,14129.484525999995,1782.2215108480002
84.0,30.0,1.4,3600.0,0.93,7.0,470.0,1373507.0,-0.8132562998033106,109.98285010944116,43.37338355223232,1.6132825361130272,40.041585453202984,51.05729136169,467.96817570922076,223.51306523265436,14770.612488,1889.6314994769991
85.0,30.0,1.4,3600.0,0.94,7.0,470.0,1387046.0,-0.8199088285098783,114.06910120419124,44.59356547103818,1.666153965220714,46.871033392029396,61.8027624686931,493.7542124369083,226.4177499009564,19312.88680200003,2610.313227276
86.0,30.0,1.4,3600.0,0.95,7.0,470.0,1405423.0,-0.8257052334626345,118.26135604404385,45.679243500305745,1.7180249829280758,53.766554498445124,72.91435964387203,520.0159836464102,229.3944699597435,13614.606447999988,1715.036393415003
